Archivo: python_highlevel_cruz_20260905_122248.csv
Duración registrada: 163.34 s

Dron 1: 1564 muestras; altura MoCap máxima = 1.693 m
Dron 1: frecuencia MoCap media = 20.1 Hz; mínima = 18.3 Hz
Dron 1: sobrepaso vertical máximo = +0.664 m
Dron 2: 1564 muestras; altura MoCap máxima = 1.727 m
Dron 2: frecuencia MoCap media = 20.1 Hz; mínima = 18.5 Hz
Dron 2: sobrepaso vertical máximo = +1.021 m
Separación mínima registrada = 0.307 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=44.531 s | Dron 1 | TAKEOFF_HIGHLEVEL
t=44.531 s | Dron 2 | TAKEOFF_HIGHLEVEL
t=56.094 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.094 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=56.234 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.234 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=56.359 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.359 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=56.469 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.469 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=56.594 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=56.703 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.703 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=56.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=56.937 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=56.937 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.078 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.078 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.172 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.172 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.281 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.281 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.453 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.453 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.594 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.703 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.703 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=57.953 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=57.953 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.062 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.062 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.172 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.172 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.312 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.312 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.422 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.422 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.547 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.547 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.656 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.781 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=58.89 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=58.89 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.015 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.015 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.14 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.14 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.25 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.359 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.359 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.5 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.5 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.64 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.64 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.734 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.734 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.844 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.844 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=59.953 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.953 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.062 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.062 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.187 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.187 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.297 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.297 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.437 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.437 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.562 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.562 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.672 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.672 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.781 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=60.906 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.906 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.015 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.015 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.156 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.156 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.265 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.265 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.39 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.39 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.5 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.5 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.625 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.625 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.734 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.734 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.859 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.859 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=61.969 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.969 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=62.078 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.078 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=62.219 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.219 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=62.344 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.344 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=62.531 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=62.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.656 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=62.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.781 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=62.906 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.906 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.015 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.015 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.156 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.156 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.281 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.281 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.39 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.39 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.5 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.5 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.609 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.609 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.719 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=63.859 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.859 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=64.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=64.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
