Archivo: python_highlevel_cruz_20260905_115449.csv
Duración registrada: 437.42 s

Dron 1: 4153 muestras; altura MoCap máxima = 1.770 m
Dron 1: frecuencia MoCap media = 19.8 Hz; mínima = 10.6 Hz
Dron 1: sobrepaso vertical máximo = +0.432 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=69.281 s | Dron 1 | TAKEOFF_HIGHLEVEL
t=75.063 s | Dron 1 | GOTO_HIGHLEVEL
t=76.328 s | Dron 1 | GOTO_HIGHLEVEL
t=77.594 s | Dron 1 | GOTO_HIGHLEVEL
t=78.86 s | Dron 1 | GOTO_HIGHLEVEL
t=81.297 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=81.406 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=81.547 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=81.672 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=81.813 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=81.922 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=82.031 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=82.156 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=82.266 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=82.391 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=92.563 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=92.672 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=92.797 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=92.938 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.078 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.203 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.344 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.469 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.578 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.703 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.813 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=93.938 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.047 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.172 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.281 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.422 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.547 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=94.891 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.125 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.266 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.391 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.5 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.61 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.735 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.86 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=95.969 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.11 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.375 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.485 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.61 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.844 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=96.953 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.063 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.188 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.297 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.422 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.531 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.672 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.797 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=97.906 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.047 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.172 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.281 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.422 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.547 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=98.891 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.016 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.125 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.391 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.5 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.625 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.735 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.86 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=99.969 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=100.078 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=100.203 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=100.328 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
