Archivo: python_highlevel_cruz_20260905_113802.csv
Duración registrada: 159.56 s

Dron 1: 1530 muestras; altura MoCap máxima = 1.486 m
Dron 1: frecuencia MoCap media = 21.6 Hz; mínima = 11.8 Hz
Dron 1: sobrepaso vertical máximo = +0.625 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=92.125 s | Dron 1 | GOTO_HIGHLEVEL
t=92.375 s | Dron 1 | GOTO_HIGHLEVEL
t=92.64 s | Dron 1 | GOTO_HIGHLEVEL
t=92.906 s | Dron 1 | GOTO_HIGHLEVEL
t=93.156 s | Dron 1 | GOTO_HIGHLEVEL
t=93.422 s | Dron 1 | GOTO_HIGHLEVEL
t=94.062 s | Dron 1 | GOTO_HIGHLEVEL
t=94.312 s | Dron 1 | GOTO_HIGHLEVEL
t=94.578 s | Dron 1 | GOTO_HIGHLEVEL
t=94.843 s | Dron 1 | GOTO_HIGHLEVEL
t=95.109 s | Dron 1 | GOTO_HIGHLEVEL
t=95.39 s | Dron 1 | GOTO_HIGHLEVEL
t=95.656 s | Dron 1 | GOTO_HIGHLEVEL
t=95.922 s | Dron 1 | GOTO_HIGHLEVEL
t=96.172 s | Dron 1 | GOTO_HIGHLEVEL
t=96.437 s | Dron 1 | GOTO_HIGHLEVEL
t=96.703 s | Dron 1 | GOTO_HIGHLEVEL
t=96.953 s | Dron 1 | GOTO_HIGHLEVEL
t=97.218 s | Dron 1 | GOTO_HIGHLEVEL
t=97.484 s | Dron 1 | GOTO_HIGHLEVEL
t=97.734 s | Dron 1 | GOTO_HIGHLEVEL
t=97.984 s | Dron 1 | GOTO_HIGHLEVEL
t=98.25 s | Dron 1 | GOTO_HIGHLEVEL
t=98.531 s | Dron 1 | GOTO_HIGHLEVEL
t=98.828 s | Dron 1 | GOTO_HIGHLEVEL
t=99.093 s | Dron 1 | GOTO_HIGHLEVEL
t=99.343 s | Dron 1 | GOTO_HIGHLEVEL
t=99.609 s | Dron 1 | GOTO_HIGHLEVEL
t=99.875 s | Dron 1 | GOTO_HIGHLEVEL
t=100.125 s | Dron 1 | GOTO_HIGHLEVEL
t=100.39 s | Dron 1 | GOTO_HIGHLEVEL
t=100.656 s | Dron 1 | GOTO_HIGHLEVEL
