Archivo: python_highlevel_cruz_20260905_121518.csv
Duración registrada: 20.83 s

Dron 2: 199 muestras; altura MoCap máxima = 1.522 m
Dron 2: frecuencia MoCap media = 19.7 Hz; mínima = 18.6 Hz
Dron 2: sobrepaso vertical máximo = +0.220 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=4.719 s | Dron 2 | TAKEOFF_HIGHLEVEL
t=14.313 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.438 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.547 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.672 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.782 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.922 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.047 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.188 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.313 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.422 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.532 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.657 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.766 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.891 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.016 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.141 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.25 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.375 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.485 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.625 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.75 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.86 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.969 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.094 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.203 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.328 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.438 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.547 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.657 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.782 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.891 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.016 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.141 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.266 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.391 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.5 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.625 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.735 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.844 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.969 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.078 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.219 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.344 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.469 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.703 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.938 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.063 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.172 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.313 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.438 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.578 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.719 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.828 s | SISTEMA | EMERGENCIA_HIGHLEVEL
