Archivo: python_highlevel_cruz_20260905_122559.csv
Duración registrada: 44.94 s

Dron 1: 433 muestras; altura MoCap máxima = 1.262 m
Dron 1: frecuencia MoCap media = 20.2 Hz; mínima = 18.1 Hz
Dron 1: sobrepaso vertical máximo = +0.318 m
Dron 2: 433 muestras; altura MoCap máxima = 1.287 m
Dron 2: frecuencia MoCap media = 20.3 Hz; mínima = 18.1 Hz
Dron 2: sobrepaso vertical máximo = +0.255 m
Separación mínima registrada = 0.257 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=16.89 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=16.89 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.109 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.109 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.234 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.234 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.344 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.344 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.484 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.484 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.594 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.719 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.969 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=17.969 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.094 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.094 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.203 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.203 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.328 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.328 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.437 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.437 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.547 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.547 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.656 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.765 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.765 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=18.89 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=18.89 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.109 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.109 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.219 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.219 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.344 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.344 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.484 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.484 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.609 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.609 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.719 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.844 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.844 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=19.953 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=19.953 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.078 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.078 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.187 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.187 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.312 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.312 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.406 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.406 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.531 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.672 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.672 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.781 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=20.906 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=20.906 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.015 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.015 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.156 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.156 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.281 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.281 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.39 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.39 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.515 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.515 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.625 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.625 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.75 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.75 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.859 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.859 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=21.984 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.984 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.109 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.109 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.219 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.219 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.328 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.328 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.453 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.453 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.562 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.562 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.687 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.687 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.797 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.797 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=22.922 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.922 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
