Archivo: python_highlevel_cruz_20260905_121613.csv
Duración registrada: 17.77 s

Dron 2: 167 muestras; altura MoCap máxima = 1.069 m
Dron 2: frecuencia MoCap media = 19.5 Hz; mínima = 18.8 Hz
Dron 2: sobrepaso vertical máximo = +0.178 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=3.406 s | Dron 2 | TAKEOFF_HIGHLEVEL
t=10.313 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=10.422 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=10.547 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=10.688 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=10.813 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=10.953 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.078 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.188 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.313 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.422 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.547 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.688 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.813 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=11.953 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.078 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.188 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.313 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.422 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.672 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.797 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=12.906 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.031 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.172 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.297 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.406 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.672 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.797 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=13.906 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.031 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.141 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.266 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.406 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.641 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.766 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=14.891 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.0 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.141 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.235 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.36 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.469 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.703 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=15.969 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.094 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.235 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.36 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.469 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.703 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=16.938 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.063 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.188 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.313 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.422 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.531 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.641 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=17.766 s | SISTEMA | EMERGENCIA_HIGHLEVEL
