Archivo: python_highlevel_cruz_20260905_124312.csv
Duración registrada: 22.72 s

Dron 1: 218 muestras; altura MoCap máxima = 1.128 m
Dron 1: frecuencia MoCap media = 19.6 Hz; mínima = 13.6 Hz
Dron 1: sobrepaso vertical máximo = +0.163 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=13.188 s | Dron 1 | TAKEOFF_HIGHLEVEL
t=14.625 s | Dron 1 | GOTO_HIGHLEVEL
t=15.891 s | Dron 1 | GOTO_HIGHLEVEL
t=17.156 s | Dron 1 | GOTO_HIGHLEVEL
t=18.422 s | Dron 1 | GOTO_HIGHLEVEL
t=19.672 s | Dron 1 | GOTO_HIGHLEVEL
t=20.938 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.047 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.172 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.281 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.406 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.516 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.781 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=21.891 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.016 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.125 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.235 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.36 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.469 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.578 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=22.719 s | SISTEMA | EMERGENCIA_HIGHLEVEL
