Archivo: python_highlevel_cruz_20260905_120826.csv
Duración registrada: 80.67 s

Dron 1: 776 muestras; altura MoCap máxima = 1.293 m
Dron 1: frecuencia MoCap media = 19.6 Hz; mínima = 11.8 Hz
Dron 1: sobrepaso vertical máximo = +0.422 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=43.297 s | Dron 1 | TAKEOFF_HIGHLEVEL
t=45.563 s | Dron 1 | GOTO_HIGHLEVEL
t=46.828 s | Dron 1 | GOTO_HIGHLEVEL
t=48.078 s | Dron 1 | GOTO_HIGHLEVEL
t=49.36 s | Dron 1 | GOTO_HIGHLEVEL
t=50.61 s | Dron 1 | GOTO_HIGHLEVEL
t=51.86 s | Dron 1 | GOTO_HIGHLEVEL
t=53.11 s | Dron 1 | GOTO_HIGHLEVEL
t=54.375 s | Dron 1 | GOTO_HIGHLEVEL
t=59.688 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=59.953 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.094 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.219 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.328 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.469 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.594 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=60.953 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.094 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.203 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.328 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.438 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.563 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.703 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=61.938 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.078 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.203 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.313 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.453 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.578 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=62.844 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.0 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.141 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.391 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.516 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.656 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.766 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=63.891 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=64.031 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=64.141 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=64.25 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
