Archivo: python_highlevel_cruz_20260905_122835.csv
Duración registrada: 137.38 s

Dron 1: 1325 muestras; altura MoCap máxima = 1.342 m
Dron 1: frecuencia MoCap media = 20.0 Hz; mínima = 18.8 Hz
Dron 1: sobrepaso vertical máximo = +0.164 m
Dron 2: 1325 muestras; altura MoCap máxima = 1.343 m
Dron 2: frecuencia MoCap media = 19.9 Hz; mínima = 18.6 Hz
Dron 2: sobrepaso vertical máximo = +0.217 m
Separación mínima registrada = 0.334 m

Eventos:
t=0.0 s | SISTEMA | PREFLIGHT_HIGHLEVEL_OK
t=96.922 s | Dron 1 | TAKEOFF_HIGHLEVEL
t=96.922 s | Dron 2 | TAKEOFF_HIGHLEVEL
t=101.938 s | Dron 1 | GOTO_HIGHLEVEL
t=101.938 s | Dron 2 | GOTO_HIGHLEVEL
t=103.188 s | Dron 1 | GOTO_HIGHLEVEL
t=103.188 s | Dron 2 | GOTO_HIGHLEVEL
t=104.453 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=104.453 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=104.594 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=104.594 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=104.719 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=104.719 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=104.828 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=104.828 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=104.938 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=104.938 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=105.047 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=105.047 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=105.157 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=105.157 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=105.266 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=105.266 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=105.532 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=105.532 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=105.672 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=105.672 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=105.782 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=105.782 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=105.907 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=105.907 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=106.032 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=106.032 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
t=106.141 s | Dron 1 | FOLLOW_MARKER_HIGHLEVEL
t=106.141 s | Dron 2 | FOLLOW_MARKER_HIGHLEVEL
